image_path,label
images/HER2_001.png,2
images/HER2_002.png,2
images/HER2_003.png,2
images/HER2_004.png,2
images/HER2_005.png,2
images/HER2_006.png,2
images/HER2_007.png,2
images/HER2_008.png,2
images/HER2_009.png,2
images/HER2_010.png,2
images/HER2_011.png,2
images/HER2_012.png,2
images/HER2_013.png,2
images/HER2_014.png,2
images/HER2_015.png,2
images/HER2_016.png,2
images/HER2_017.png,2
images/HER2_018.png,2
images/HER2_019.png,2
images/HER2_020.png,2
images/HER2_021.png,2
images/HER2_022.png,2
images/HER2_023.png,0
images/HER2_024.png,3
images/HER2_025.png,1
images/HER2_026.png,2
images/HER2_027.png,1
images/HER2_028.png,3
images/HER2_029.png,0
images/HER2_030.png,1
images/HER2_031.png,0
images/HER2_032.png,0
images/HER2_033.png,1
images/HER2_034.png,1
images/HER2_035.png,1
images/HER2_036.png,3
images/HER2_037.png,1
images/HER2_038.png,1
images/HER2_039.png,2
images/HER2_040.png,0
images/HER2_041.png,1
images/HER2_042.png,1
images/HER2_043.png,0
images/HER2_044.png,1
images/HER2_045.png,1
images/HER2_046.png,1
images/HER2_047.png,0
images/HER2_048.png,0
images/HER2_049.png,0
images/HER2_050.png,3
images/HER2_051.png,1
images/HER2_052.png,1
images/HER2_053.png,3
images/HER2_054.png,1
images/HER2_055.png,0
images/HER2_056.png,0
images/HER2_057.png,3
images/HER2_058.png,3
images/HER2_059.png,1
images/HER2_060.png,1
images/HER2_061.png,0
images/HER2_062.png,0
images/HER2_063.png,0
images/HER2_064.png,0
images/HER2_065.png,0
images/HER2_066.png,0
images/HER2_067.png,3
images/HER2_068.png,0
images/HER2_069.png,0
images/HER2_070.png,3
images/HER2_071.png,0
images/HER2_072.png,1
images/HER2_073.png,0
images/HER2_074.png,1
images/HER2_075.png,3
images/HER2_076.png,1
images/HER2_077.png,0
images/HER2_078.png,3
images/HER2_079.png,0
images/HER2_080.png,0
images/HER2_082.png,2
images/HER2_083.png,2
images/HER2_084.png,1
images/HER2_085.png,0
images/HER2_086.png,3
images/HER2_087.png,1
images/HER2_088.png,3
images/HER2_089.png,3
images/HER2_090.png,0
images/HER2_091.png,0
images/HER2_092.png,0
images/HER2_093.png,3
images/HER2_094.png,3
images/HER2_095.png,0
images/HER2_096.png,0
images/HER2_097.png,3
images/HER2_098.png,1
images/HER2_099.png,1
images/HER2_100.png,0
images/HER2_101.png,0
images/HER2_102.png,0
images/HER2_103.png,0
images/HER2_104.png,1
images/HER2_105.png,0
images/HER2_106.png,1
images/HER2_107.png,3
images/HER2_108.png,1
images/HER2_109.png,1
images/HER2_110.png,0
images/HER2_111.png,0
images/HER2_112.png,3
images/HER2_113.png,1
images/HER2_114.png,0
images/HER2_115.png,0
images/HER2_116.png,0
images/HER2_117.png,1
images/HER2_118.png,0
images/HER2_119.png,0
images/HER2_120.png,2
images/HER2_121.png,0
images/HER2_122.png,1
images/HER2_123.png,0
images/HER2_124.png,1
images/HER2_125.png,3
images/HER2_126.png,3
images/HER2_127.png,0
images/HER2_128.png,2
images/HER2_129.png,0
images/HER2_130.png,2
images/HER2_132.png,0
images/HER2_133.png,3
images/HER2_134.png,1
images/HER2_135.png,1
images/HER2_136.png,1
images/HER2_137.png,0
images/HER2_138.png,0
images/HER2_139.png,0
images/HER2_140.png,1
images/HER2_141.png,0
images/HER2_142.png,3
images/HER2_143.png,0
images/HER2_144.png,3
images/HER2_145.png,1
images/HER2_146.png,0
images/HER2_147.png,0
images/HER2_148.png,0
images/HER2_149.png,3
images/HER2_150.png,1
images/HER2_151.png,0
images/HER2_152.png,0
images/HER2_153.png,0
images/HER2_154.png,0
images/HER2_155.png,0
images/HER2_156.png,1
images/HER2_157.png,0
images/HER2_158.png,0
images/HER2_159.png,1
images/HER2_160.png,1
images/HER2_161.png,1
images/HER2_162.png,0
images/HER2_163.png,0
images/HER2_164.png,0
images/HER2_165.png,0
images/HER2_166.png,1
images/HER2_167.png,3
images/HER2_168.png,3
images/HER2_169.png,1
images/HER2_170.png,1
images/HER2_171.png,0
images/HER2_172.png,0
images/HER2_173.png,3
images/HER2_174.png,1
images/HER2_175.png,0
images/HER2_176.png,0
images/HER2_177.png,3
images/HER2_178.png,3
images/HER2_179.png,3
images/HER2_180.png,1
images/HER2_181.png,3
images/HER2_182.png,3
images/HER2_183.png,3
images/HER2_184.png,1
images/HER2_185.png,1
images/HER2_186.png,1
images/HER2_187.png,1
images/HER2_188.png,2
images/HER2_189.png,0
images/HER2_190.png,2
images/HER2_191.png,0
images/HER2_192.png,1
images/HER2_193.png,1
images/HER2_194.png,2
images/HER2_195.png,1
images/HER2_196.png,0
images/HER2_197.png,0
images/HER2_198.png,1
images/HER2_199.png,0
images/HER2_200.png,3
images/HER2_201.png,1
images/HER2_202.png,0
images/HER2_203.png,0
images/HER2_204.png,1
images/HER2_205.png,0
images/HER2_206.png,1
images/HER2_207.png,0
images/HER2_208.png,0
images/HER2_209.png,2
images/HER2_210.png,0
images/HER2_212.png,1
images/HER2_213.png,3
images/HER2_214.png,2
images/HER2_215.png,3
images/HER2_216.png,0
images/HER2_217.png,0
images/HER2_218.png,0
images/HER2_219.png,1
images/HER2_220.png,1
images/HER2_221.png,0
images/HER2_222.png,0
images/HER2_223.png,0
images/HER2_224.png,0
images/HER2_225.png,0
images/HER2_226.png,0
images/HER2_227.png,3
images/HER2_228.png,0
images/HER2_229.png,0
images/HER2_230.png,0
images/HER2_231.png,0
images/HER2_232.png,1
images/HER2_233.png,1
images/HER2_234.png,0
images/HER2_235.png,3
images/HER2_236.png,1
images/HER2_237.png,0
images/HER2_238.png,3
images/HER2_240.png,1
images/HER2_241.png,1
images/HER2_242.png,1
images/HER2_243.png,0
images/HER2_244.png,0
images/HER2_245.png,0
images/HER2_246.png,0
images/HER2_247.png,1
images/HER2_248.png,0
images/HER2_249.png,0
images/HER2_252.png,0
images/HER2_253.png,0
images/HER2_254.png,0
images/HER2_255.png,0
images/HER2_256.png,0
images/HER2_257.png,0
images/HER2_258.png,0
images/HER2_259.png,3
images/HER2_260.png,1
images/HER2_261.png,0
images/HER2_262.png,1
images/HER2_263.png,3
images/HER2_264.png,3
images/HER2_265.png,1
images/HER2_266.png,1
images/HER2_267.png,1
images/HER2_269.png,1
images/HER2_270.png,1
images/HER2_271.png,0
images/HER2_272.png,0
images/HER2_273.png,0
images/HER2_274.png,0
images/HER2_275.png,1
images/HER2_276.png,3
images/HER2_277.png,0
images/HER2_278.png,0
images/HER2_279.png,0
images/HER2_280.png,1
images/HER2_281.png,0
images/HER2_282.png,0
images/HER2_283.png,3
images/HER2_284.png,0
images/HER2_285.png,0
images/HER2_286.png,0
images/HER2_287.png,1
images/HER2_288.png,0
images/HER2_289.png,1
images/HER2_290.png,0
images/HER2_291.png,0
images/HER2_292.png,1
images/HER2_293.png,1
images/HER2_294.png,1
images/HER2_295.png,0
images/HER2_296.png,1
images/HER2_297.png,0
images/HER2_298.png,0
images/HER2_299.png,1
images/HER2_300.png,1
images/HER2_301.png,3
images/HER2_302.png,1
images/HER2_303.png,3
images/HER2_304.png,1
images/HER2_305.png,1
images/HER2_306.png,0
images/HER2_307.png,0
images/HER2_308.png,1
images/HER2_309.png,1
images/HER2_310.png,1
images/HER2_311.png,0
images/HER2_312.png,1
images/HER2_313.png,3
images/HER2_314.png,0
images/HER2_315.png,1
images/HER2_316.png,0
images/HER2_317.png,1
images/HER2_318.png,3
images/HER2_319.png,1
images/HER2_320.png,1
images/HER2_321.png,1
images/HER2_322.png,3
images/HER2_323.png,0
images/HER2_324.png,1
images/HER2_325.png,0
images/HER2_326.png,1
images/HER2_327.png,0
images/HER2_328.png,0
images/HER2_329.png,0
images/HER2_330.png,3
images/HER2_331.png,1
images/HER2_332.png,3
images/HER2_333.png,1
images/HER2_334.png,3
images/HER2_335.png,3
images/HER2_336.png,3
images/HER2_337.png,3
images/HER2_338.png,3
images/HER2_339.png,3
images/HER2_340.png,3
images/HER2_341.png,3
images/HER2_342.png,3
images/HER2_343.png,3
images/HER2_344.png,3
images/HER2_345.png,3
images/HER2_346.png,3
images/HER2_347.png,3
images/HER2_348.png,3
images/HER2_349.png,3
images/HER2_350.png,3
images/HER2_351.png,3
images/HER2_352.png,3
images/HER2_353.png,3
images/HER2_354.png,2
images/HER2_355.png,3
images/HER2_356.png,2
images/HER2_357.png,3
images/HER2_359.png,3
images/HER2_360.png,3
images/HER2_361.png,3
images/HER2_362.png,3
images/HER2_363.png,3
images/HER2_364.png,3
images/HER2_365.png,2
images/HER2_366.png,2
images/HER2_367.png,3
images/HER2_368.png,3
images/HER2_369.png,3
images/HER2_370.png,3
images/HER2_371.png,2
images/HER2_372.png,2
images/HER2_373.png,3
images/HER2_374.png,3
images/HER2_375.png,3
images/HER2_376.png,3
images/HER2_377.png,3
images/HER2_378.png,3
images/HER2_379.png,3
images/HER2_380.png,3
images/HER2_381.png,3
images/HER2_382.png,3
images/HER2_383.png,3
images/HER2_384.png,3
images/HER2_385.png,3
images/HER2_386.png,2
images/HER2_387.png,2
images/HER2_388.png,2
images/HER2_389.png,2
images/HER2_390.png,2
images/HER2_391.png,2
images/HER2_392.png,2
images/HER2_393.png,2
images/HER2_394.png,2
images/HER2_395.png,2
images/HER2_396.png,2
images/HER2_397.png,2
images/HER2_398.png,2
images/HER2_399.png,2
images/HER2_400.png,2
images/HER2_401.png,2
images/HER2_402.png,2
images/HER2_403.png,2
images/HER2_404.png,2
images/HER2_405.png,2
images/HER2_406.png,2
images/HER2_407.png,2
images/HER2_408.png,2
images/HER2_409.png,2
images/HER2_410.png,2
images/HER2_411.png,2
images/HER2_412.png,2
images/HER2_413.png,2
images/HER2_414.png,3
images/HER2_415.png,2
images/HER2_416.png,2
images/HER2_417.png,2
images/HER2_418.png,2
images/HER2_419.png,2
images/HER2_420.png,2
images/HER2_421.png,3
images/HER2_422.png,3
images/HER2_423.png,3
images/HER2_424.png,3
images/HER2_425.png,3
images/HER2_426.png,2
